Condition ID,Condition,Kinase,Directionality,Pubmed,Time (min)
390_120,DNA damage (Etoposide),ATR,up,22424773,
390_120,DNA damage (Etoposide),ATM,up,22424773,
399_129,DNA damage (Ionizing radiation),ATM,up,22424773,
399_129,DNA damage (Ionizing radiation),ATR,up,22424773,
81_138,Early S (Thymidine),ATM,up,20068231,150.0
81_138,Early S (Thymidine),ATR,up,20068231,150.0
429_153,EGF,EGFR,up,19651622,1440.0
429_144,EGF,EGFR,up,19651622,1440.0
240_63,EGF,EGFR,up,19651622,15.0
426_153,EGF,EGFR,up,19651622,10.0
426_144,EGF,EGFR,up,19651622,10.0
240_66,EGF,EGFR,up,19651622,15.0
714_78,EGF,EGFR,up,19651622,5.0
1293_272,EGFRi (PD-153035),EGFR,down,26060313,
1292_272,EGFRi (PD-168393),EGFR,down,26060313,
243_63,EGF + SB202190,MAPK14,down,19651622,15.0
246_63,EGF + SB202190,MAPK14,down,19651622,15.0
252_66,EGF + U0126,MAP2K1,down,19651622,15.0
255_66,EGF + U0126,MAP2K1,down,19651622,15.0
252_66,EGF + U0126,MAP2K2,down,19651622,15.0
255_66,EGF + U0126,MAP2K2,down,19651622,15.0
1294_272,ERKi (ERK inhibitor),MAPK1,down,26060313,
1295_272,ERKi (ERK inhibitor II),MAPK1,down,26060313,
96_36,Erlotinib,EGFR,down,26968253,0.0
72_72,G1_S (Thymidine),ATM,up,20068231,0.0
72_138,G1_S (Thymidine),ATM,up,20068231,0.0
72_72,G1_S (Thymidine),ATR,up,20068231,0.0
72_138,G1_S (Thymidine),ATR,up,20068231,0.0
99_36,Gefitinib,EGFR,down,26968253,0.0
480_177,Iloprost (5 nM),PRKACA,up,24324209,1.0
474_177,Iloprost (5 nM),PRKACA,up,24324209,0.16
477_177,Iloprost (5 nM),PRKACA,up,24324209,0.5
84_138,Late S (Thymidine),ATR,up,20068231,330.0
84_138,Late S (Thymidine),ATM,up,20068231,330.0
363_105,LRRK2-IN-1 (Endogenous LRRK2),LRRK2,down,24117733,
366_108,LRRK2-IN-1 (LRRK2 overexpression),LRRK2,down,24117733,
1296_272,MEKi (GSK-1120212),MAP2K2,down,26060313,
1296_272,MEKi (GSK-1120212),MAP2K1,down,26060313,
1297_272,MEKi (U0126),MAP2K1,down,26060313,
1297_272,MEKi (U0126),MAP2K2,down,26060313,
282_75,Mitosis (AZD1152),AURKA,down,21712546,
282_75,Mitosis (AZD1152),AURKB,down,21712546,
285_75,Mitosis (BI2536),PLK1,down,21712546,
273_75,Mitosis (MLN8054 0_25 microM),AURKA,down,21712546,
276_75,Mitosis (MLN8054 1 microM),AURKA,down,21712546,
279_75,Mitosis (MLN8054 5 microM),AURKA,down,21712546,
288_75,Mitosis (short Taxol + BI2536),PLK1,down,21712546,
1298_272,mTORi (KU-0063794),MTOR,down,26060313,
1299_272,mTORi (Torin-1),MTOR,down,26060313,
1301_272,P70S6K1i (DG2),RPS6KB1,down,26060313,
1300_272,P70S6K1i (PF-4708671),RPS6KB1,down,26060313,
1302_272,PI3Ki (GDC-0941),AKT1,down,26060313,
1303_272,PI3Ki (PI-103),AKT1,down,26060313,
705_225,PIK3CA activation (E545K),AKT1,up,25247763,
705_225,PIK3CA activation (E545K),PIK3CA,up,25247763,
699_225,PIK3CA activation (H1047R),AKT1,up,25247763,
699_225,PIK3CA activation (H1047R),PIK3CA,up,25247763,
702_225,PIK3CA activation (H1047R) + inhibitor,AKT1,down,25247763,
1305_272,PKCi (BIM-1),PRKCA,down,26060313,
1304_272,PKCi (Gö-6976),PRKCA,down,26060313,
372_111,PLK1 Inhibitor (G2r - BI2536 - 120m),PLK1,down,23612710,
375_111,PLK1 Inhibitor (G2r - BI2536 - 240m),PLK1,down,23612710,
369_111,PLK1 Inhibitor (G2r - BI2536 - 30m),PLK1,down,23612710,
483_180,Quizartinib,FLT3,down,23497317,
483_183,Quizartinib,FLT3,down,23497317,
483_180,Quizartinib,PDGFRA,down,23497317,
483_183,Quizartinib,PDGFRA,down,23497317,
120_48,Rapamycin,MTOR,down,21659604,
102_117,RG7356,AKT1,up,24819962,30.0
105_117,RG7356,AKT1,up,24819962,90.0
387_117,RG7356,AKT1,up,24819962,270.0
1308_272,ROCKi (H-1152),ROCK1,down,26060313,
1309_272,ROCKi (Y-27632),ROCK1,down,26060313,
1320_277,Selumetinib (AZD6244),MAP2K1,down,25850435,
1321_277,Selumetinib (AZD6244),MAP2K1,down,25850435,
1322_277,Selumetinib (AZD6244),MAP2K1,down,25850435,
1320_277,Selumetinib (AZD6244),MAP2K2,down,25850435,
1321_277,Selumetinib (AZD6244),MAP2K2,down,25850435,
1322_277,Selumetinib (AZD6244),MAP2K2,down,25850435,
423_141,Sorafinib,BRAF,down,18852116,
423_141,Sorafinib,RAF1,down,18852116,
423_141,Sorafinib,PDGFRB,down,18852116,
423_141,Sorafinib,FLT1,down,18852116,
423_141,Sorafinib,FLT4,down,18852116,
114_48,Starved,MTOR,down,21659604,
117_48,Torin1,MTOR,down,21659604,
417_141,VEGF,FLT4,up,23592840,30.0
411_141,VEGF,FLT4,up,23592840,10.0
420_141,VEGF,FLT4,up,23592840,60.0
414_141,VEGF,FLT4,up,23592840,20.0
417_141,VEGF,FLT1,up,23592840,30.0
411_141,VEGF,FLT1,up,23592840,10.0
420_141,VEGF,FLT1,up,23592840,60.0
414_141,VEGF,FLT1,up,23592840,20.0
1323_277,Vemurafenib (PLX4032),BRAF,down,22646766,
1325_277,Vemurafenib (PLX4032),BRAF,down,22646766,
1328_277,Vemurafenib (PLX4032),BRAF,down,22646766,
1326_277,Vemurafenib (PLX4032),BRAF,down,22646766,
1324_277,Vemurafenib (PLX4032),BRAF,down,22646766,
1327_277,Vemurafenib (PLX4032),BRAF,down,22646766,
